店舗ID,集計開始日,集計終了日,分類ID,分類名称,メニューID,メニュー名称,メニュータイプ,チョイスID,チョイス名称,売価(税込),売価(税抜),原価(税込),原価(税抜),販売数,販売金額(税込),値割引金額,消費税率区分
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214859,つまみ,1766437,胡麻カンパチ,food,,,539,490,129,120,2,1078,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214863,刺身,1766440,トロたくつまみ,food,,,605,550,38,36,119,71995,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214863,刺身,1766441,ネギトロユッケ,food,,,605,550,36,34,44,26620,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214863,刺身,1766442,なめろう,food,,,550,500,113,105,2,1100,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214859,つまみ,1766443,エイヒレ炙り,food,,,506,460,223,207,55,27830,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214859,つまみ,1766444,おさつチップス,food,,,319,290,30,28,25,7975,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214859,つまみ,1766446,魚せんべい（特製ダレ）,food,,,209,190,21,20,38,7942,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214872,揚げもの,1766446,魚せんべい（特製ダレ）,food,,,209,190,21,20,33,6897,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214868,早出し,1766447,クリームチーズ味噌漬け,food,,,418,380,102,95,31,12958,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214859,つまみ,1766447,クリームチーズ味噌漬け,food,,,418,380,102,95,26,10868,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214860,一品,1766450,鰻巻き,food,,,484,440,132.75,123.75,114,55176,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1766454,にくづめ（自家製ソーセージ）,food,,,352,320,128,119,79,27808,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1766455,ねぎま（マグロ?肉）,food,,,209,190,78,73,408,85272,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1766455,ねぎま（マグロ?肉）,,611651,塩,0,0,0,0,101,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1766455,ねぎま（マグロ?肉）,,611652,タレ,0,0,0,0,33,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1766455,ねぎま（マグロ?肉）,,620184,おまかせ,0,0,0,0,274,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1766456,かわ（マグロの皮）,food,,,165,150,21,20,162,26730,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1766459,つくね（豚バラ・豚軟骨）,food,,,319,290,104,97,342,109098,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1766459,つくね（豚バラ・豚軟骨）,,611651,塩,0,0,0,0,34,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1766459,つくね（豚バラ・豚軟骨）,,611652,タレ,0,0,0,0,107,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1766459,つくね（豚バラ・豚軟骨）,,620184,おまかせ,0,0,0,0,201,0,,10
